Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS,TB,GDP,HBP,SH,SF,IBB,PosSummary
745,746,Jon Lester*\lestejo01,33,CHC,NL,30,65,54,5,8,3,0,1,6,1,0,4,26,0.14800000000000002,0.203,0.259,0.46299999999999997,19.0,14,0,0,6,1,0,1
746,747,Adam Liberatore*\liberad01,30,LAD,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
748,749,Adam Lind*\lindad01,33,WSN,NL,116,301,267,39,81,14,0,14,59,1,0,28,47,0.303,0.36200000000000004,0.513,0.875,124.0,137,6,0,0,6,5,37/D
749,750,Josh Lindblom\lindbjo01,30,PIT,NL,4,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/1
754,755,Ben Lively\livelbe01,25,PHI,NL,14,26,26,2,6,0,0,2,8,0,0,0,9,0.231,0.231,0.462,0.6920000000000001,78.0,12,0,0,0,0,0,1
755,756,Kyle Lloyd\lloydky01,26,SDP,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/1
756,757,Jose Lobaton#\lobatjo01,32,WSN,NL,51,158,141,11,24,3,0,4,11,0,0,14,35,0.17,0.248,0.27699999999999997,0.525,37.0,39,5,1,1,1,1,2
757,758,Tim Locastro\locasti01,24,LAD,NL,3,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/7
758,759,Jeff Locke*\lockeje01,29,MIA,NL,7,11,10,0,0,0,0,0,0,0,0,1,9,0.0,0.091,0.0,0.091,-72.0,0,0,0,0,0,0,/1
760,761,Steve Lombardozzi#\lombast02,28,MIA,NL,2,8,8,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/4
762,763,Jorge Lopez\lopezjo02,24,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
764,765,Michael Lorenzen\lorenmi01,25,CIN,NL,70,12,12,1,2,0,0,1,1,0,0,0,5,0.16699999999999998,0.16699999999999998,0.41700000000000004,0.583,45.0,5,0,0,0,0,0,1
767,768,Josh Lucas\lucasjo02,26,STL,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
771,772,Seth Lugo\lugose01,27,NYM,NL,18,34,29,4,4,2,0,1,2,0,0,0,10,0.138,0.138,0.31,0.44799999999999995,14.0,9,1,0,5,0,0,1
772,773,Jordan Luplow\luplojo01,23,PIT,NL,27,87,78,6,16,3,1,3,11,0,1,6,22,0.205,0.276,0.385,0.66,72.0,30,4,2,0,1,0,97
773,774,Jordan Lyles\lylesjo01,26,TOT,NL,37,14,13,1,3,0,0,0,3,0,0,1,6,0.231,0.28600000000000003,0.231,0.516,38.0,3,0,0,0,0,0,1
776,777,Lance Lynn#\lynnla01,30,STL,NL,31,61,54,2,4,2,0,0,0,0,0,1,25,0.07400000000000001,0.107,0.111,0.218,-42.0,6,1,1,5,0,0,1
777,778,Tyler Lyons*\lyonsty01,29,STL,NL,48,2,1,0,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,52.0,0,0,0,0,0,0,1
783,784,Kenta Maeda\maedake01,29,LAD,NL,28,44,39,2,5,1,0,0,4,0,0,0,3,0.128,0.128,0.154,0.282,-25.0,6,1,0,5,0,0,1
784,785,Tyler Mahle\mahlety01,22,CIN,NL,4,8,7,1,1,0,0,0,0,0,0,0,2,0.14300000000000002,0.25,0.14300000000000002,0.39299999999999996,8.0,1,0,1,0,0,0,/1
790,791,Dillon Maples\mapledi01,25,CHC,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
791,792,Manuel Margot\margoma01,22,SDP,NL,126,529,487,53,128,18,7,13,39,17,7,35,106,0.263,0.313,0.409,0.721,92.0,199,6,2,1,4,0,*8
793,794,Jhan Marinez\marinjh01,28,TOT,NL,39,6,6,0,1,1,0,0,0,0,0,0,4,0.16699999999999998,0.16699999999999998,0.33299999999999996,0.5,27.0,2,0,0,0,0,0,1
798,799,Nick Markakis*\markani01,33,ATL,NL,160,670,593,76,163,39,1,8,76,0,2,68,110,0.275,0.354,0.384,0.738,93.0,228,16,6,0,3,8,*9/D
799,800,German Marquez\marquge01,22,COL,NL,26,53,45,4,8,2,0,0,5,0,0,0,18,0.17800000000000002,0.17800000000000002,0.222,0.4,-2.0,10,1,0,8,0,0,1
800,801,Chris Marrero\marrech01,28,SFG,NL,15,41,38,2,5,0,0,1,5,0,0,2,9,0.132,0.171,0.21100000000000002,0.381,1.0,8,4,0,0,1,0,7
803,804,Ketel Marte#\marteke01,23,ARI,NL,73,255,223,30,58,11,2,5,18,3,1,29,37,0.26,0.345,0.395,0.74,86.0,88,3,1,0,2,3,6/5
804,805,Starling Marte\martest01,28,PIT,NL,77,339,309,48,85,7,2,7,31,21,4,20,63,0.275,0.33299999999999996,0.379,0.7120000000000001,88.0,117,5,8,0,2,0,78
810,811,Carlos Martinez\martica04,25,STL,NL,31,69,62,5,11,3,0,0,11,0,0,1,19,0.177,0.203,0.226,0.429,14.0,14,1,1,5,0,0,1
814,815,Jose Martinez\martijo08,28,STL,NL,106,307,272,47,84,13,1,14,46,4,0,32,60,0.309,0.379,0.518,0.897,135.0,141,9,0,1,2,2,379/D
820,821,Jeff Mathis\mathije01,34,ARI,NL,60,203,186,13,40,10,2,2,11,1,0,14,61,0.215,0.27699999999999997,0.32299999999999995,0.6,51.0,60,6,2,1,0,1,2
821,822,Phil Maton\matonph01,24,SDP,NL,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
822,823,Steven Matz\matzst01,26,NYM,NL,17,24,21,1,3,0,0,0,1,0,0,0,7,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.28600000000000003,-24.0,3,0,0,3,0,0,1
832,833,Mike Mayers\mayermi01,25,STL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
835,836,Cory Mazzoni\mazzoco01,27,SDP,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
839,840,Brandon McCarthy\mccarbr01,33,LAD,NL,18,28,23,2,1,0,0,0,0,0,0,3,16,0.043,0.154,0.043,0.19699999999999998,-43.0,1,0,0,2,0,0,1
842,843,Andrew McCutchen\mccutan01,30,PIT,NL,156,650,570,94,159,30,2,28,88,11,5,73,116,0.27899999999999997,0.363,0.486,0.8490000000000001,122.0,277,10,4,0,3,5,*89/D
843,844,T.J. McFarland*\mcfartj01,28,ARI,NL,41,5,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,2.0,1,0,0,0,0,0,1
844,845,Jake McGee*\mcgeeja01,30,COL,NL,58,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
845,846,Dustin McGowan\mcgowdu01,35,MIA,NL,61,7,6,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1
846,847,Kevin McGowan\mcgowke01,25,NYM,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
847,848,Kyle McGrath*\mcgraky01,24,SDP,NL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
848,849,Deck McGuire\mcguide02,28,CIN,NL,6,3,3,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/1
850,851,Ryan McMahon*\mcmahry01,22,COL,NL,17,24,19,2,3,1,0,0,1,0,0,5,5,0.158,0.33299999999999996,0.21100000000000002,0.544,40.0,4,1,0,0,0,0,/345
851,852,Alex Mejia\mejiaal01,26,STL,NL,29,49,46,6,5,0,0,1,3,0,0,2,13,0.109,0.146,0.174,0.32,-15.0,8,2,0,1,0,0,5/463
853,854,Mark Melancon\melanma01,32,SFG,NL,31,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
854,855,Keury Mella\mellake01,23,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
858,859,Jordy Mercer\mercejo03,30,PIT,NL,145,558,502,52,128,24,5,14,58,0,4,51,88,0.255,0.326,0.406,0.733,92.0,204,16,3,0,2,13,*6
860,861,Devin Mesoraco\mesorde01,29,CIN,NL,56,165,141,17,30,5,1,6,14,1,0,18,38,0.213,0.321,0.39,0.711,85.0,55,4,5,0,1,0,2/D
867,868,Shelby Miller\millesh01,26,ARI,NL,4,9,6,2,0,0,0,0,0,0,0,2,3,0.0,0.33299999999999996,0.0,0.33299999999999996,-4.0,0,0,1,0,0,0,/1
868,869,Hoby Milner*\milneho01,26,PHI,NL,37,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
869,870,Tommy Milone*\milonto01,30,TOT,NL,16,12,9,0,1,0,0,0,1,0,0,2,5,0.111,0.273,0.111,0.384,8.0,1,0,0,1,0,0,1
874,875,A.J. Minter*\minteaj01,23,ATL,NL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
877,878,Yadier Molina\molinya01,34,STL,NL,136,543,501,60,137,27,1,18,82,9,4,28,74,0.273,0.312,0.439,0.7509999999999999,96.0,220,14,4,1,9,4,*2/3
879,880,Carlos Moncrief*\moncrca01,28,SFG,NL,28,43,38,4,8,1,0,0,5,0,0,3,15,0.21100000000000002,0.256,0.237,0.493,33.0,9,0,0,0,2,0,9/7
885,886,Rafael Montero\montera01,26,NYM,NL,32,28,25,1,2,0,0,0,1,0,0,0,10,0.08,0.08,0.08,0.16,-57.0,2,0,0,3,0,0,1
887,888,Mike Montgomery*\montgmi01,27,CHC,NL,40,30,27,5,5,1,0,1,3,0,0,0,10,0.185,0.185,0.33299999999999996,0.519,31.0,9,0,0,3,0,0,1
888,889,Matt Moore*\moorema02,28,SFG,NL,31,53,47,3,6,0,0,0,4,0,0,2,19,0.128,0.163,0.128,0.29100000000000004,-21.0,6,2,0,4,0,0,1
889,890,Tyler Moore\moorety01,30,MIA,NL,104,203,187,17,43,14,0,6,30,0,0,10,56,0.23,0.267,0.401,0.6679999999999999,78.0,75,7,1,1,4,0,3/79
893,894,Adam Morgan*\morgaad01,27,PHI,NL,36,3,2,0,1,0,0,0,0,0,0,1,1,0.5,0.667,0.5,1.167,219.0,1,0,0,0,0,0,1
896,897,Max Moroff#\morofma01,24,PIT,NL,56,140,120,19,24,4,1,3,21,0,1,16,43,0.2,0.302,0.325,0.627,66.0,39,0,2,1,1,0,46/5
897,898,Reyes Moronta\moronre01,24,SFG,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
898,899,Akeel Morris\morriak01,24,ATL,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
899,900,Bryan Morris*\morribr01,30,SFG,NL,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
901,902,Brandon Morrow\morrobr01,32,LAD,NL,43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
902,903,Mike Morse\morsemi01,35,SFG,NL,24,40,36,1,7,1,0,1,3,0,0,3,14,0.19399999999999998,0.25,0.306,0.556,47.0,11,1,0,0,1,0,3/7
905,906,Jason Motte\motteja01,35,ATL,NL,42,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
910,911,Daniel Murphy*\murphda08,32,WSN,NL,144,593,534,94,172,43,3,23,93,2,0,52,77,0.322,0.384,0.5429999999999999,0.9279999999999999,137.0,290,16,4,0,3,14,*4
911,912,John Ryan Murphy\murphjr01,26,ARI,NL,5,7,7,0,1,1,0,0,1,0,0,0,1,0.14300000000000002,0.14300000000000002,0.28600000000000003,0.429,4.0,2,1,0,0,0,0,/2
912,913,Tom Murphy\murphto04,26,COL,NL,12,26,24,1,1,1,0,0,1,0,0,2,9,0.042,0.115,0.083,0.19899999999999998,-49.0,2,0,0,0,0,1,/2
914,915,Wil Myers\myerswi01,26,SDP,NL,155,649,567,80,138,29,3,30,74,20,6,70,180,0.243,0.32799999999999996,0.46399999999999997,0.792,110.0,263,15,5,0,7,3,*3/4D
918,919,Daniel Nava#\navada01,34,PHI,NL,80,214,183,21,55,8,1,4,21,1,0,26,38,0.301,0.39299999999999996,0.42100000000000004,0.813,118.0,77,2,3,0,2,0,7/93D
921,922,Kristopher Negron\negrokr01,31,ARI,NL,14,31,25,3,4,1,0,0,1,0,0,4,7,0.16,0.3,0.2,0.5,30.0,5,1,1,1,0,0,/7634
922,923,Jimmy Nelson\nelsoji02,28,MIL,NL,27,60,57,0,6,0,0,0,2,0,0,1,35,0.105,0.121,0.105,0.226,-40.0,6,0,0,2,0,0,1
923,924,Hector Neris\nerishe01,28,PHI,NL,71,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
924,925,Pat Neshek#\neshepa01,36,TOT,NL,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
927,928,Dovydas Neverauskas\neverdo01,24,PIT,NL,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
928,929,Sean Newcomb*\newcose01,24,ATL,NL,19,35,27,1,1,0,0,0,0,0,0,2,17,0.037000000000000005,0.10300000000000001,0.037000000000000005,0.14,-61.0,1,1,0,6,0,0,1
929,930,Gift Ngoepe\ngoepgi01,27,PIT,NL,28,63,54,10,12,2,1,0,6,0,0,8,26,0.222,0.32299999999999995,0.29600000000000004,0.619,66.0,16,0,0,1,0,0,4/65
930,931,Juan Nicasio\nicasju01,30,TOT,NL,69,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
935,936,Justin Nicolino*\nicolju01,25,MIA,NL,20,13,11,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,2,0,0,1
936,937,Tomas Nido\nidoto01,23,NYM,NL,5,10,10,0,3,1,0,0,3,0,0,0,2,0.3,0.3,0.4,0.7,84.0,4,0,0,0,0,0,/2
937,938,Kirk Nieuwenhuis*\nieuwki01,29,MIL,NL,16,31,26,3,3,1,0,1,1,0,0,4,15,0.115,0.258,0.26899999999999996,0.527,38.0,7,0,1,0,0,0,/87
938,939,Brandon Nimmo*\nimmobr01,24,NYM,NL,69,215,177,26,46,11,1,5,21,2,0,33,60,0.26,0.379,0.418,0.797,112.0,74,3,2,1,2,1,78/9D
939,940,Aaron Nola\nolaaa01,24,PHI,NL,25,54,48,3,4,0,0,0,1,0,0,4,25,0.083,0.154,0.083,0.237,-34.0,4,0,0,2,0,0,1
943,944,Ivan Nova\novaiv01,30,PIT,NL,29,60,51,0,1,0,0,0,0,0,0,0,31,0.02,0.02,0.02,0.039,-90.0,1,0,0,9,0,0,1
950,951,Eric O'Flaherty*\oflaher01,32,ATL,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
951,952,Chris O'Grady\ogradch01,27,MIA,NL,13,9,8,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1
952,953,Scott Oberg\obergsc01,27,COL,NL,65,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
955,956,Seung-hwan Oh\ohse01,34,STL,NL,60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
957,958,Steven Okert*\okertst01,25,SFG,NL,41,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
960,961,Danny Ortiz*\ortizda02,27,PIT,NL,9,13,12,1,1,0,0,0,0,0,0,1,1,0.083,0.154,0.083,0.237,-34.0,1,0,0,0,0,0,/978
961,962,Josh Osich*\osichjo01,28,SFG,NL,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
962,963,Jose Osuna\osunajo01,24,PIT,NL,104,227,215,31,50,13,4,7,30,0,0,9,40,0.233,0.26899999999999996,0.428,0.6970000000000001,80.0,92,10,2,0,1,0,937
965,966,Adam Ottavino#\ottavad01,31,COL,NL,59,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
969,970,Chris Owings\owingch01,25,ARI,NL,97,386,362,41,97,25,1,12,51,12,2,17,87,0.268,0.299,0.442,0.741,83.0,160,3,1,2,4,0,694/7
970,971,Marcell Ozuna\ozunama01,26,MIA,NL,159,679,613,93,191,30,2,37,124,1,3,64,144,0.312,0.376,0.5479999999999999,0.924,146.0,336,18,0,0,2,4,*7/8D9
972,973,Joe Panik*\panikjo01,26,SFG,NL,138,573,511,60,147,28,5,10,53,4,1,46,54,0.28800000000000003,0.34700000000000003,0.42100000000000004,0.768,103.0,215,10,5,3,8,4,*4
974,975,Edward Paredes*\pareded02,30,LAD,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
976,977,Jarrett Parker*\parkeja03,28,SFG,NL,51,177,166,14,41,12,2,4,23,2,1,10,54,0.247,0.294,0.41600000000000004,0.7090000000000001,85.0,69,2,1,0,0,2,7/9D
978,979,Gerardo Parra*\parrage01,30,COL,NL,115,425,392,56,121,24,1,10,71,2,5,20,67,0.309,0.341,0.452,0.7929999999999999,94.0,177,13,4,0,9,0,79/38D
982,983,Joc Pederson*\pederjo01,25,LAD,NL,102,323,273,44,58,20,0,11,35,4,3,39,68,0.212,0.331,0.40700000000000003,0.738,95.0,111,7,10,0,1,1,8/7
985,986,Felix Pena\penafe01,27,CHC,NL,24,4,3,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25,-26.0,0,0,0,0,0,0,1
987,988,Hunter Pence\pencehu01,34,SFG,NL,134,539,493,55,128,13,5,13,67,2,3,40,102,0.26,0.315,0.385,0.701,85.0,190,8,2,0,4,1,*9/D
989,990,David Peralta*\peralda01,29,ARI,NL,140,577,525,82,154,31,3,14,57,8,4,43,94,0.293,0.35200000000000004,0.444,0.7959999999999999,99.0,233,7,6,0,3,1,*97/D
990,991,Jhonny Peralta\peraljh01,35,STL,NL,21,58,54,3,11,0,0,0,0,0,0,4,13,0.204,0.259,0.204,0.462,26.0,11,2,0,0,0,0,5
991,992,Wandy Peralta*\peralwa01,25,CIN,NL,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
992,993,Wily Peralta\peralwi01,28,MIL,NL,18,15,13,0,3,0,0,0,1,0,0,1,4,0.231,0.28600000000000003,0.231,0.516,38.0,3,0,0,1,0,0,1
993,994,Jose Peraza\perazjo01,23,CIN,NL,143,518,487,50,126,9,4,5,37,23,8,20,70,0.259,0.297,0.324,0.622,63.0,158,7,7,3,1,1,46/8
994,995,Luis Perdomo\perdolu02,24,SDP,NL,27,53,46,3,5,1,4,0,3,0,0,1,20,0.109,0.128,0.304,0.43200000000000005,11.0,14,1,0,6,0,0,1
996,997,Hernan Perez\perezhe01,26,MIL,NL,136,458,432,47,112,19,3,14,51,13,4,20,79,0.259,0.289,0.414,0.7040000000000001,81.0,179,8,0,2,4,1,75984/631
998,999,Oliver Perez*\perezol01,35,WSN,NL,47,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1001,1002,Cameron Perkins\perkica01,26,PHI,NL,42,97,88,9,16,5,0,1,8,0,0,5,23,0.182,0.237,0.273,0.51,36.0,24,1,2,0,2,0,79/83
1002,1003,Dillon Peters*\peterdi01,24,MIA,NL,6,11,9,1,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,-100.0,0,0,0,2,0,0,/1
1003,1004,Jace Peterson*\peterja01,27,ATL,NL,89,215,186,15,40,9,2,2,17,3,0,27,48,0.215,0.318,0.317,0.635,67.0,59,4,1,1,0,3,745/369
1007,1008,Tommy Pham\phamth01,29,STL,NL,128,530,444,95,136,22,2,23,73,25,7,71,117,0.306,0.41100000000000003,0.52,0.9309999999999999,145.0,231,18,10,2,3,0,*78/9
1015,1016,Brett Phillips*\phillbr02,23,MIL,NL,37,98,87,9,24,3,0,4,12,5,0,9,34,0.276,0.35100000000000003,0.44799999999999995,0.799,107.0,39,0,1,1,0,2,8/97
1016,1017,Tyler Pill*\pillty01,27,NYM,NL,7,5,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/1
1018,1019,Manny Pina\pinama01,30,MIL,NL,107,359,330,45,92,21,0,9,43,2,0,20,79,0.27899999999999997,0.327,0.424,0.7509999999999999,94.0,140,8,5,1,3,0,2
1021,1022,Ricardo Pinto\pintori01,23,PHI,NL,25,1,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
1022,1023,Jose Pirela\pireljo01,27,SDP,NL,83,344,312,43,90,25,4,10,40,4,3,27,71,0.28800000000000003,0.34700000000000003,0.49,0.8370000000000001,122.0,153,8,2,1,2,0,7/439D5
1023,1024,Stephen Piscotty\piscost01,26,STL,NL,107,401,341,40,80,16,1,9,39,3,6,52,87,0.235,0.342,0.36700000000000005,0.708,89.0,125,11,5,0,3,2,9
1024,1025,Nick Pivetta\pivetni01,24,PHI,NL,25,48,44,3,3,0,0,0,0,0,0,0,21,0.068,0.068,0.068,0.136,-63.0,3,1,0,4,0,0,1
1025,1026,Kevin Plawecki\plaweke01,26,NYM,NL,37,118,100,11,26,5,0,3,13,1,0,14,17,0.26,0.364,0.4,0.764,103.0,40,2,3,0,1,2,2/31
1029,1030,Gregory Polanco*\polangr01,25,PIT,NL,108,411,379,39,95,20,0,11,35,8,1,27,60,0.251,0.305,0.391,0.695,82.0,148,5,3,0,1,4,97/8D
1031,1032,A.J. Pollock\polloaj01,29,ARI,NL,112,466,425,73,113,33,6,14,49,20,6,35,71,0.266,0.33,0.47100000000000003,0.8009999999999999,99.0,200,8,6,0,0,1,*8/D
1034,1035,Buster Posey\poseybu01,30,SFG,NL,140,568,494,62,158,34,0,12,67,6,1,61,66,0.32,0.4,0.462,0.861,128.0,228,17,8,0,5,13,23/D
1038,1039,Martin Prado\pradoma01,33,MIA,NL,37,147,140,13,35,9,0,2,12,0,0,6,22,0.25,0.27899999999999997,0.35700000000000004,0.636,71.0,50,4,0,0,1,0,5/D
1047,1048,Yasiel Puig\puigya01,26,LAD,NL,152,570,499,72,131,24,2,28,74,15,6,64,100,0.263,0.34600000000000003,0.48700000000000004,0.833,118.0,243,21,2,0,5,8,*9
1049,1050,Kevin Quackenbush\quackke01,28,SDP,NL,18,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
1050,1051,Chad Qualls\quallch01,38,COL,NL,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1054,1055,Ryan Raburn\raburry01,36,WSN,NL,25,69,65,7,17,1,2,2,6,0,1,4,25,0.262,0.304,0.431,0.735,88.0,28,1,0,0,0,0,7
1061,1062,Jose Ramirez\ramirjo02,27,ATL,NL,64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1062,1063,Neil Ramirez\ramirne01,28,TOT,NL,28,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
1065,1066,AJ Ramos\ramosaj01,30,TOT,NL,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1068,1069,Edubray Ramos\ramosed02,24,PHI,NL,56,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
1071,1072,Josh Ravin\ravinjo01,29,LAD,NL,14,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1
1072,1073,Robbie Ray*\rayro02,25,ARI,NL,27,61,53,5,13,2,0,0,2,0,0,3,23,0.245,0.28600000000000003,0.28300000000000003,0.569,45.0,15,0,0,5,0,0,1
1073,1074,Raudy Read\readra01,23,WSN,NL,8,11,11,1,3,0,0,0,0,0,0,0,3,0.273,0.273,0.273,0.545,43.0,3,0,0,0,0,0,/2
1074,1075,J.T. Realmuto\realmjt01,26,MIA,NL,141,579,532,68,148,31,5,17,65,8,2,36,106,0.278,0.332,0.451,0.7829999999999999,110.0,240,13,8,0,3,4,*2/3D
1075,1076,Anthony Recker\reckean01,33,ATL,NL,6,7,7,1,1,0,0,0,0,0,0,0,1,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.28600000000000003,-25.0,1,1,0,0,0,0,/2
1081,1082,Cody Reed*\reedco01,24,CIN,NL,12,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
1085,1086,Jack Reinheimer\reinhja01,24,ARI,NL,2,5,5,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/6
1086,1087,Anthony Rendon\rendoan01,27,WSN,NL,147,605,508,81,153,41,1,25,100,7,2,84,82,0.301,0.40299999999999997,0.5329999999999999,0.937,141.0,271,7,7,0,6,6,*5
1087,1088,Hunter Renfroe\renfrhu01,25,SDP,NL,122,479,445,51,103,25,1,26,58,3,0,27,140,0.231,0.284,0.467,0.7509999999999999,97.0,208,4,6,0,1,1,*9/D
1089,1090,Jose Reyes#\reyesjo01,34,NYM,NL,145,561,501,75,123,25,7,15,58,24,6,50,79,0.24600000000000002,0.315,0.413,0.728,91.0,207,3,2,5,3,1,654/87
1090,1091,Mark Reynolds\reynoma01,33,COL,NL,148,593,520,82,139,22,1,30,97,2,1,69,175,0.267,0.35200000000000004,0.48700000000000004,0.8390000000000001,105.0,253,12,1,0,3,0,*3/D7
1091,1092,Matt Reynolds\reynoma03,26,NYM,NL,68,130,113,12,26,1,2,1,5,0,1,14,37,0.23,0.326,0.301,0.626,69.0,34,2,2,1,0,1,56/4739
1092,1093,Jacob Rhame\rhameja01,24,NYM,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
1093,1094,Clayton Richard*\richacl01,33,SDP,NL,31,68,57,2,7,1,0,1,4,0,0,1,31,0.12300000000000001,0.16699999999999998,0.193,0.36,-3.0,11,0,2,8,0,0,1
1095,1096,JT Riddle*\riddljt01,25,MIA,NL,70,247,228,20,57,13,1,3,31,0,2,12,50,0.25,0.282,0.355,0.637,72.0,81,6,0,2,5,2,6
1096,1097,Yacksel Rios\riosya01,24,PHI,NL,13,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
1097,1098,Rene Rivera\riverre01,33,TOT,NL,74,237,218,23,55,9,0,10,35,0,1,14,70,0.252,0.305,0.431,0.736,92.0,94,4,3,1,1,3,2/3
1100,1101,T.J. Rivera\rivertj01,28,NYM,NL,73,231,214,27,62,13,1,5,27,1,0,9,32,0.29,0.33,0.43,0.76,100.0,92,4,5,1,2,0,534/7
1101,1102,Yadiel Rivera\riverya01,25,MIL,NL,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/5
